city,state,shape,duration,date_time,lon,lat
Visalia,CA,light,2 minutes,2021-12-15T21:45:00,-119.34793664122137,36.35665012722647
Cincinnati,OH,triangle,14 seconds,2021-12-16T09:45:00,-84.48136299381886,39.17450311744155
Knoxville,TN,triangle,20-30 seconds,2021-12-10T19:30:00,-83.98011528822055,35.96156134085213
Fullerton,CA,unknown,2 minutes,2020-07-07T23:00:00,-117.9249784126984,33.87742158730159
Las Vegas,NV,oval,10 minutes,2020-04-23T03:00:00,-115.18659190010855,36.14124586319218
Orem,UT,other,10 seconds,2020-04-18T23:00:00,-111.7016845959596,40.29412297979798
Springfield,NJ,light,7 seconds,2020-05-13T03:37:00,-74.3296,40.6987
Janesville,MN,light,15 minutes,2020-04-18T21:05:00,-93.7286,44.0728
Bangor,MI,triangle,45 minutes,2020-04-18T22:30:00,-86.0813,42.3128
Sisters,OR,light,3 minutes,2020-04-16T21:10:00,-121.9283,44.4102
Warm Springs,OR,formation,15 minutes,2020-04-16T21:15:00,-121.3155,44.8237
El Sobrante,CA,formation,30 minutes,2020-04-15T05:30:00,-122.26938703703703,37.95619629629631
Davenport,IA,circle,1 hour,2020-03-28T08:00:00,-90.5987598944591,41.555164116094986
Wilmington,DE,light,1-2 minutes,2020-03-21T22:00:00,-75.56602068328716,39.750686611265
Fond du Lac,WI,sphere,2 minutes,2020-03-15T21:00:00,-88.41398658536586,43.75806463414634
Odessa,TX,diamond,45 minutes,2020-03-17T22:00:00,-102.36950956521738,31.869177391304348
Bayville,NJ,light,4 hours,2020-03-14T02:00:00,-74.1549,39.9093
San jose,CA,other,2 minutes,2018-07-04T23:00:00,-121.88970568836406,37.3388420218894
Gridley,CA,circle,2 minutes,2019-12-20T18:00:00,-121.765,39.3545
Williston,ND,light,Unknown,2006-05-01T22:00:00,-103.7017,48.218393939393934
Cambria,CA,flash,a moment,1983-04-14T19:30:00,-121.0184,35.5954
Arlington,WA,triangle,5-10 min.,1995-08-12T20:29:00,-121.67780000000002,48.1853
